"Nombre_PA";"Page";"IDNum";"centre";"agence";"superviseur";"secteur";"syndicat";"commune";"nom_site";"code_ppv";"an_service";"numero_esclave";"code_id";"code_station";"pages_annexes";"activites";"categorie";"energie";"support";"num_appel";"num_secours";"adresse_ip";"intersite";"site_lie";"rmqintersite";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"digicode";"divers"
0;"H9";1450;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"CHAMELET";"SR LES DANIERES - CHAMELET";"5829";0;100;"0-4";"H9";"";"Eau potable";"Pompage";"EDF";"RTC";"04 74 71 31 95";"";"";"RTC";"RTC Le Cret";;"Sofrel";"S50";"4.32";"";"M4-P4";;
0;"HA";1452;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"CHAMELET";"VANNE LE BROUILLARD - CHAMELET";"21995";0;104;"0-4";"HA";"";"Eau potable";"Relevé de compteur";"Autonome (Pile)";"RTC";"04 74 71 91 13";"";"";"Non";;"";"Sofrel";"Telbox";"3.20.11";"";"M4-P4";;
0;"HB";1451;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"CHAMELET";"RES LE CRET- CHAMELET";"5849";0;216;"0-4";"HB";"";"Eau potable";"Réservoir";"Autonome (Pile)";"RTC";"04 78 25 82 45";"";"";"RTC";"RTC Les Danieres";;"Sofrel";"Telbox";"4.10.12";"";"M4-P4";;
0;"HC";2510;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"GRANDRIS";"RES FOND SARDET - GRANDRIS";"5866";2013;;;"HC";;"Eau potable";"Réservoir";"Autonome (Pile)";"SMS";"06 74 43 47 67";;;"Non";;;"Sofrel";"LS42";;;"M4-P4";;
0;"HD";1453;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"GRANDRIS";"SR LE GOUTEL - GRANDRIS";"5835";0;41;"0-4";"HD";"";"Eau potable";"Pompage réservoir";"EDF";"RTC";"04 74 03 15 39";"";"";"RTC";"RTC Plat Marsand et Arnauds";;"Sofrel";"S50";"4.17";"";"M4-P4";;
0;"HF";1454;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"GRANDRIS";"SR LES IGAUX - GRANDRIS";"5834";0;42;"0-4";"HF";"";"Eau potable";"Pompage";"EDF";"RTC";"04 74 60 19 66";"";"";"RTC";"RTC Nuisieres";;"Sofrel";"S50";"4.17";"";"M4-P4";;
0;"HH";1455;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"GRANDRIS";"RES PLAT MARSAND - GRANDRIS";"5860";0;43;"0-4";"HH";"";"Eau potable";"Réservoir";"Autonome (Pile)";"RTC";"04 74 03 16 48";"";"";"RTC";"RTC Goutel";;"Sofrel";"Telbox";"3.20.10";"";"M4-P4";;
0;"HJ";1456;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"GRANDRIS";"SP LES ARNAUDS - GRANDRIS";"17501";0;44;"0-4";"HJ";"";"Eau potable";"Pompage";"EDF";"RTC";"04 74 03 16 24";"";"";"RTC";"RTC Goutel";;"Sofrel";"S50";"4.16";"";"M4-P4";;
0;"HL";1457;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"GRANDRIS";"RES LES NUISIERES - GRANDRIS";"5852";0;45;"0-4";"HL";"";"Eau potable";"Réservoir";"Autonome (Pile)";"RTC";"04 74 60 17 87";"";"";"RTC";"TRC Ygaux";;"Sofrel";"Telbox";"3.10.11";"";"M4-P4";;
0;"HP";1459;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"LAMURE-SUR-AZERGUES";"RES LES COMBETTES-LAMUZE AZERGUES";"5859";0;47;"0-4";"HP";"";"Eau potable";"Réservoir";"Autonome (Pile)";"RTC";"04 74 03 16 47";"";"";"RTC";"RTC Chambon";;"Sofrel";"Telbox";"4.10.11";"";"M4-P4";;
0;"HQ";1460;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"LAMURE-SUR-AZERGUES";"SR VERBEFIERE - LAMUZE AZERGUES";"5836";0;48;"0-4";"HQ";"";"Eau potable";"Pompage";"EDF";"RTC";"04 74 03 04 12";"";"";"RTC";"RTC Vanel";;"Sofrel";"S50";"4.43";"";"M4-P4";;
0;"HR";1461;;"Nord-Rhône";"EP Nord-Rhône / Ain";"Pontcharra";"HAUTE VALLEE D'AZERGUES";"SAINT-NIZIER-D'AZERGUES";"SR LES FOUGERES - St NIZIER AZERGUES";"5838";0;49;"0-4";"HR";"";"Eau potable";"Pompage";"EDF";"RTC";"04 74 02 01 37";"";"";"RTC";"RTC Les Sauvages";;"Sofrel";"S50";"4.16";"";"M4-P4";;
