"Nombre_PA";"Page";"IDNum";"IDKey";"numero_esclave";"code_ppv";"code_id";"centre";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"digicode";"divers";"rmqintersite";"site_lie";"intersite";"adresse_ip";"num_secours"
0;"MA";1034;"0_LHL_T3_WIT";0;"59075";;"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"La Fouillouse";"Relevé de compteur";"Notre Dame des Absents";2008;"MA";;"Autonome (Pile)";"GSM";"06 31 47 92 85";"WIT";"Twiny Cube";;"06:30";"Grand Croix";;;;;;;
0;"MA";1480;;1;"64080";"";"Loire Auvergne";"PDD";"PDD_CA";"Assainissement";"PDD";;"SIREG";"Déversoir d'orage";"DVO Route de Perrier";2012;"MA";"";"Autonome (Pile)";"GSM";"06 43 23 75 32";"Sofrel";"LS42";"2.20";"05:02";"PDD Assainissement";"";"";;;;;
0;"MB";1035;"0_LHL_T8_WIT";0;"59077";;"Loire Auvergne";"LHL";"LHL";"Eau potable";"Grand Croix";;"La Fouillouse";"Relevé de compteur";"Rue du Pilat";2008;"MB";;"Autonome (Pile)";"GSM";"06 42 40 04 59";"WIT";"Twiny Cube";;"06:15";"Grand Croix";;;;;;;
0;"MB";1256;"00_PDD_OO_SOFREL";139;"65985";"";"Loire Auvergne";"PDD";"PDD_CA";"Assainissement";"PDD";;"SIREG";"Poste de relevage";"PR Beauregard";2011;"MB";"";"EDF";"RTC";"04 73 71 76 13";"Sofrel";"S530";"4.11";"04:07";"PDD Assainissement";"";"";;;;;
0;"MC";1027;"28_CCANL_MC_SOFREL";28;"58959";;"Loire Auvergne";"CCANL";"CCANL";"Assainissement";"Corrèze";;"Commune de Treignac";"Poste de relevage";"le Vieux Pont";2006;"MC";;"EDF";"RTC";"05 55 98 41 29";"Sofrel";"S50";"5.46";"04:25";"Corrèze";;;;;;;
0;"MC";1236;"137_PDD_MC_SOFREL";137;"65986";;"Loire Auvergne";"PDD";"PDD_CA";"Assainissement";"PDD";;"SIREG";"Poste de relevage";"PR de Naves";2010;"MC";;"EDF";"RTC";"04 73 54 41 76";"Sofrel";"S510";"3.50";"05:44";"PDD";;;;;;;
0;"MD";1046;"130_PDD_MD_SOFREL";130;"12449";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"Commune d Issoire";"Relevé de compteur";"Issoire Chemin des Jodonnes";2006;"MD";;"Autonome (Pile)";"GSM";"06 87 76 96 95";"Sofrel";"Cellbox SMS";"1.10";"5:30";"PDD Eau Potable";;;;;;;
0;"ME";325;"164_CCANL_ME_SOFREL";164;"12656";;"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Allier";;"Commune de St Eloy les Mines";"Réservoir";"Les Vendes Réservoir";2006;"ME";"MD";"-----------";"RTC";"04 73 85 26 43";"Sofrel";"S50";"4.32";"06:06";"St Eloy";;;;;;;
0;"ME";1047;"131_PDD_ME_SOFREL";131;"12457";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"Commune d Issoire";"Relevé de compteur";"Issoire Secteur Haute Rive";2006;"ME";;"Autonome (Pile)";"GSM";"06 82 31 89 32";"Sofrel";"Cellbox SMS";"1.10";"5:32";"PDD Eau Potable";;;;;;;
0;"MF";326;"213_CCANL_MF_Sofrel";213;"12654";;"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Allier";;"Commune de St Eloy les Mines";"Réservoir";"Ladoux";2001;"MF";;"EDF";"RTC";"04 73 85 23 38";"Sofrel";"S50";"4.32";"05:01";"St Eloy";;;;;;;
0;"MF";1048;"132_PDD_MF_SOFREL";132;"72144";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"Commune d Issoire";"Relevé de compteur";"Issoire Rue Cézallier";2006;"MF";;"Autonome (Pile)";"GSM";"06 75 09 43 36";"Sofrel";"Cellbox SMS";"1.10";"5:34";"PDD Eau Potable";;;;;;;
0;"MG";1049;"133_PDD_MG_SOFREL";133;"12448";;"Loire Auvergne";"PDD";"PDD_CA";"Eau potable";"PDD";;"Commune d Issoire";"Relevé de compteur";"Issoire Rue Bizaleix";2006;"MG";;"Autonome (Pile)";"GSM";"06 81 12 21 57";"Sofrel";"Cellbox SMS";"1.10";"5:36";"PDD Eau Potable";;;;;;;
0;"MG";1139;"37_CCANL_MG_SOFREL";37;"0";;"Loire Auvergne";"CCANL";"CCANL";"Eau potable";"Corrèze";;"Commune de Madrange";"Station de traitement";"Madrange";2009;"MG";;"EDF";"RTC";"05 55 97 91 36";"Sofrel";"S530";"3.40";"00:00";"CCANL";;;;;;;
