"Nombre_PA";"Page";"IDNum";"numero_esclave";"code_ppv";"code_id";"agence";"superviseur";"activites";"secteur";"commune";"syndicat";"categorie";"nom_site";"an_service";"code_station";"pages_annexes";"energie";"support";"num_appel";"num_secours";"marque";"type";"version";"h_auto_connect";"agence_astreinte";"adresse_ip";"intersite";"site_lie";"rmqintersite";"digicode";"divers"
0;"A44";1525;45;"6978";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"NIÉVROZ";"NIEVROZ";"Poste de relevage";"PR LE SILO - NIEVROZ";0;"A44";"";"EDF";"RTC";"04 72 25 02 99";"";"Perax";"P200Xm";"000N 5.60";"";"M3/A3";"";;;"";;
0;"A45";1526;46;"6979";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"NIÉVROZ";"NIEVROZ";"Poste de relevage";"PR LES MESANGES - NIEVROZ";0;"A45";"";"EDF";"RTC";"04 72 25 08 87";"";"Perax";"P200Xm";"000N 5.60";"";"M3/A3";"";;;"";;
0;"A46";1513;47;"7039";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"MONTLUEL";"INDUSTRIELS";"Poste de relevage";"PR CARRIER - MONTLUEL";0;"A46";"";"EDF";"RTC";"04 72 25 21 45";"";"Perax";"P200Xm";"000N 5.68";"";"M3/A3";"";;;"";;
0;"A48";1540;49;"7016";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-ANDRÉ-DE-CORCY";"SAINT ANDRE DE CORCY";"Poste de relevage";"PR CLOS DES CEDRES - St ANDRE CORCY";0;"A48";"";"EDF";"GSM";"06 85 04 25 83";"";"Perax";"P200Xm";"0023 5.72";"";"M3/A3";"";;;"";;
0;"A49";1539;50;"7019";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-ANDRÉ-DE-CORCY";"SAINT ANDRE DE CORCY";"Poste de relevage";"PR LA ROUSSIERES - St ANDRE CORCY";0;"A49";"";"EDF";"GSM";"06 75 78 87 49";"";"Perax";"P200Xm";"0023 5.72";"";"M3/A3";"";;;"";;
0;"A50";1541;51;"7014";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-ANDRÉ-DE-CORCY";"SAINT ANDRE DE CORCY";"Poste de relevage";"PR ZAC DE LA PRAIRIE - St ANDRE CORCY";0;"A50";"";"EDF";"RTC";"04 72 26 48 39";"";"Perax";"P200Xm";"000N 5.68";"";"M3/A3";"";;;"";;
0;"A51";1542;54;"7017";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-ANDRÉ-DE-CORCY";"SAINT ANDRE DE CORCY";"Poste de relevage";"PR LES ECHANAUX 1 - St ANDRE CORCY";0;"A51";"";"EDF";"RTC";"04 72 26 49 17";"";"Perax";"P200Xm";"000N 5.68";"";"M3/A3";"";;;"";;
0;"A52";1543;55;"7018";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-ANDRÉ-DE-CORCY";"SAINT ANDRE DE CORCY";"Poste de relevage";"PR LES ECHANAUX 2 - St ANDRE CORCY";1999;"A52";"";"EDF";"RTC";"04 72 26 40 75";"";"Perax";"P200Xm";"0022 5.65";"";"M3/A3";"";;;"";;
0;"A53";2373;56;"74766";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"SAINT-ANDRÉ-DE-CORCY";"SAINT ANDRE DE CORCY";"Poste de relevage";"PR des Sapins - ST ANDRE DE CORCY";2013;"A53";"";"EDF";"GSM";"06 71 42 98 65";"";"Sofrel";"S500";"";"";"";"";;;"";"";""
0;"A6";1304;69;"6276";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"ANSE";"SAONE TURDINE";"Station de traitement";"SP JONCHAY TRT 2 et 3 - ANSE";0;"A6";"";"EDF";"RTC";"04 74 67 14 03";"";"Sofrel";"S500";"3.30";"";"M3-P3";"192.168.0.116";;;"";;
0;"A6";2178;4;"7096";"0 - 0";"Centre-Rhône";"EP Mions Grand Lyon";"Eau potable";"SUD";"MIONS";"GRAND LYON";"Captage";"USINE_SOUS LA ROCHE - MIONS";0;"A6";"A5";"EDF";"RTC";"04 78 20 12 11";"";"Sofrel";"S500";"";"";"";"";;;"LP avec R Chatanay";"";""
0;"A60";1496;63;"62425";"0 - 1";"Ain";"ASS Rhone Saone";"Assainissement";"Civrieux";"BEYNOST";"BEYNOST";"Déversoir d'orage";"DO N¦1 RN 84 CHEMIN PRIEURE - BEYNOST";2009;"A60";"";"EDF";"GSM";"06 85 45 29 14";"";"Perax";"P400XI";"";"";"M3/A3";"";;;"";;
0;"A7";1370;6;"64610";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"LACHASSAGNE";"SAONE TURDINE";"Vanne";"VANNE VENTE SIEVA HS - LACHASSAGNE";2009;"A7";"";"EDF";"GSM";"06 85 75 45 20";"";"Sofrel";"S500";"3.30";"";"";"";;;"";;
0;"A9";1305;2;"0";"0-3";"Nord-Rhône";"EP Nord-Rhône / Ain";"Eau potable";"Anse";"BEAUREGARD";"SAONE TURDINE";"Relevé de compteur";"INTERCO BEAUREGARD - BEAUREGARD";0;"A9";"";"EDF";"RTC";"04 74 68 53 79";"";"Sofrel";"S50";"5.46";"";"M3-P3";"";;;"";;
